Time,Position,BufferStatus,Bitrate,PacketLoss,Latency,Event
19.20,0.64,61.8%,0.68 Mbps,0.7%,28.5 ms,
19.40,0.65,55.7%,0.75 Mbps,1.1%,31.8 ms,
19.60,0.65,58.0%,0.91 Mbps,1.2%,34.9 ms,
19.80,0.66,62.1%,1.00 Mbps,1.0%,29.2 ms,
20.00,0.67,61.6%,0.97 Mbps,0.8%,34.9 ms,
20.20,0.67,58.8%,0.96 Mbps,1.4%,32.2 ms,
20.40,0.68,60.8%,1.07 Mbps,0.5%,33.8 ms,
20.60,0.69,54.5%,0.98 Mbps,0.9%,25.5 ms,
20.80,0.69,62.2%,1.03 Mbps,0.9%,34.0 ms,
21.00,0.70,58.5%,1.24 Mbps,1.4%,26.8 ms,
21.20,0.71,56.5%,1.13 Mbps,0.9%,33.5 ms,
21.40,0.71,62.6%,1.31 Mbps,0.7%,25.4 ms,
21.60,0.72,62.4%,1.29 Mbps,0.8%,35.0 ms,
21.80,0.73,66.4%,1.30 Mbps,1.3%,29.8 ms,
22.00,0.73,65.0%,1.43 Mbps,1.3%,25.0 ms,
22.20,0.74,65.3%,1.36 Mbps,0.8%,29.2 ms,
22.40,0.75,64.5%,1.49 Mbps,0.5%,28.8 ms,
22.60,0.75,66.8%,1.45 Mbps,0.9%,31.5 ms,
22.80,0.76,69.2%,1.60 Mbps,0.6%,30.6 ms,
23.00,0.77,76.0%,1.56 Mbps,0.6%,33.7 ms,
23.20,0.77,73.1%,1.64 Mbps,1.4%,26.9 ms,
23.40,0.78,77.7%,1.52 Mbps,0.9%,30.9 ms,
23.60,0.79,79.7%,1.57 Mbps,1.2%,28.8 ms,
23.80,0.79,80.8%,1.61 Mbps,0.7%,32.7 ms,
24.00,0.80,84.4%,1.60 Mbps,0.9%,25.2 ms,
24.20,0.81,82.3%,1.64 Mbps,1.4%,31.7 ms,
24.40,0.81,80.4%,1.59 Mbps,1.1%,28.9 ms,
24.60,0.82,90.7%,1.65 Mbps,1.4%,31.9 ms,
24.80,0.83,84.8%,1.63 Mbps,0.7%,33.5 ms,
25.00,0.83,91.2%,1.64 Mbps,1.4%,34.9 ms,
25.20,0.84,87.3%,1.53 Mbps,1.2%,32.7 ms,
25.40,0.85,94.7%,1.66 Mbps,0.6%,27.4 ms,
25.60,0.85,94.8%,1.55 Mbps,1.3%,33.6 ms,
25.80,0.86,89.0%,1.50 Mbps,0.8%,29.8 ms,
26.00,0.87,89.9%,1.50 Mbps,1.2%,25.9 ms,
26.20,0.87,92.0%,1.68 Mbps,0.5%,29.0 ms,
26.40,0.88,96.3%,1.65 Mbps,0.6%,34.6 ms,
26.60,0.89,94.5%,1.56 Mbps,0.7%,26.7 ms,
26.80,0.89,93.0%,1.60 Mbps,1.0%,26.0 ms,
27.00,0.90,93.2%,1.61 Mbps,1.4%,29.8 ms,
27.20,0.91,95.3%,1.61 Mbps,0.8%,25.3 ms,
27.40,0.91,93.8%,1.56 Mbps,0.6%,29.5 ms,
27.60,0.92,95.0%,1.52 Mbps,0.6%,34.6 ms,
27.80,0.93,89.9%,1.61 Mbps,1.0%,33.5 ms,
28.00,0.93,96.1%,1.61 Mbps,1.3%,32.1 ms,
28.20,0.94,87.5%,1.59 Mbps,0.6%,33.0 ms,
28.40,0.95,96.0%,1.52 Mbps,0.9%,26.2 ms,
28.60,0.95,89.9%,1.68 Mbps,0.5%,27.9 ms,
28.80,0.96,92.5%,1.63 Mbps,1.2%,31.5 ms,
29.00,0.97,87.1%,1.58 Mbps,0.7%,30.3 ms,
29.20,0.97,92.9%,1.64 Mbps,1.3%,33.4 ms,
29.40,0.98,89.4%,1.69 Mbps,0.8%,34.1 ms,
29.60,0.99,85.8%,1.55 Mbps,0.9%,34.6 ms,
29.80,0.99,91.3%,1.69 Mbps,0.8%,27.5 ms,
